author_id,twitter_handle,year,total_tweets,total_likes_tw,total_retweets,total_replies,total_tweets_rt
27052329,Ecogreens,2009,187,4,2,0,NA
27052329,Ecogreens,2010,403,32,41,1,NA
27052329,Ecogreens,2011,764,11,131,7,NA
27052329,Ecogreens,2012,1342,218,1004,143,131
27052329,Ecogreens,2013,729,113,230,37,313
27052329,Ecogreens,2014,447,97,186,17,33
27052329,Ecogreens,2015,429,68,89,21,3
27052329,Ecogreens,2016,234,58,79,9,18
27052329,Ecogreens,2017,172,67,77,40,5
27052329,Ecogreens,2018,196,235,270,40,7
27052329,Ecogreens,2019,254,193,102,20,11
27052329,Ecogreens,2020,191,213,195,1,NA
27052329,Ecogreens,2021,138,47,78,4,NA
28076891,D66,2009,540,17,0,0,27
28076891,D66,2010,180,28,559,0,15
28076891,D66,2011,509,141,2909,235,44
28076891,D66,2012,1825,280,5928,1358,217
28076891,D66,2013,274,248,4384,844,128
28076891,D66,2014,1121,1643,13041,2910,162
28076891,D66,2015,1115,3646,16678,4195,208
28076891,D66,2016,1030,11816,19612,7924,94
28076891,D66,2017,3179,38371,28936,13933,95
28076891,D66,2018,3534,41898,19708,26568,118
28076891,D66,2019,8743,55918,15231,60837,99
28076891,D66,2020,2126,38737,8530,48953,272
28076891,D66,2021,1589,56043,12645,48051,317
28079017,SFpolitik,2009,236,4,0,0,NA
28079017,SFpolitik,2010,307,3,16,0,NA
28079017,SFpolitik,2011,401,10,44,23,NA
28079017,SFpolitik,2012,337,28,55,52,NA
28079017,SFpolitik,2013,234,32,74,40,NA
28079017,SFpolitik,2014,231,523,529,160,23
28079017,SFpolitik,2015,1026,4573,3235,801,837
28079017,SFpolitik,2016,263,2637,1276,236,516
28079017,SFpolitik,2017,163,3389,1033,212,1031
28079017,SFpolitik,2018,218,6404,1500,460,1407
28079017,SFpolitik,2019,239,7227,1332,528,1144
28079017,SFpolitik,2020,363,8158,1335,868,1070
28079017,SFpolitik,2021,83,1701,274,308,525
28528873,SI_sinistra,2009,866,33,2,3,2
28528873,SI_sinistra,2010,1477,69,464,1,NA
28528873,SI_sinistra,2011,1769,277,2024,339,4
28528873,SI_sinistra,2012,2844,1237,8227,2622,340
28528873,SI_sinistra,2013,1834,4565,16378,5982,1978
28528873,SI_sinistra,2014,2449,11564,17275,5752,8197
28528873,SI_sinistra,2015,2192,11208,13721,4314,8817
28528873,SI_sinistra,2016,450,2381,1986,614,7499
28528873,SI_sinistra,2017,1925,23644,16348,2599,9219
28528873,SI_sinistra,2018,989,18185,10021,2040,14184
28528873,SI_sinistra,2019,570,9509,4553,865,16699
28528873,SI_sinistra,2020,491,8318,3799,486,10305
28528873,SI_sinistra,2021,434,10838,4304,482,5927
29401760,stranasas,2009,106,1,0,0,NA
29401760,stranasas,2010,262,11,62,0,1
29401760,stranasas,2011,269,33,106,31,NA
29401760,stranasas,2012,294,38,110,19,NA
29401760,stranasas,2013,351,30,61,20,NA
29401760,stranasas,2014,338,56,71,13,NA
29401760,stranasas,2015,350,71,41,42,16
29401760,stranasas,2016,359,330,172,49,NA
29418160,PL_Malta,2009,160,0,0,0,NA
29418160,PL_Malta,2010,628,1,23,0,1
29418160,PL_Malta,2011,2462,5,124,14,NA
29418160,PL_Malta,2012,2391,107,1027,44,312
29418160,PL_Malta,2013,1682,286,1682,82,601
29418160,PL_Malta,2014,803,683,1445,203,603
29418160,PL_Malta,2015,907,1197,1956,109,854
29418160,PL_Malta,2016,409,2990,2369,116,112
29418160,PL_Malta,2017,845,9847,5034,229,689
29418160,PL_Malta,2018,198,3483,1663,166,97
29418160,PL_Malta,2019,196,1842,1224,81,111
29418160,PL_Malta,2020,84,1386,491,46,10
30717518,VL_TBLNNK,2009,9,0,0,0,NA
30717518,VL_TBLNNK,2010,385,6,969,0,74
30717518,VL_TBLNNK,2011,824,134,7267,337,163
30717518,VL_TBLNNK,2012,896,267,6102,651,379
30717518,VL_TBLNNK,2013,1050,1173,6209,889,686
30717518,VL_TBLNNK,2014,1005,2201,6241,857,799
30717518,VL_TBLNNK,2015,552,1608,3496,529,722
30717518,VL_TBLNNK,2016,480,1751,2555,404,679
30717518,VL_TBLNNK,2017,477,2957,2791,621,558
30717518,VL_TBLNNK,2018,484,5139,3658,914,700
30717518,VL_TBLNNK,2019,253,2498,1469,442,354
30717518,VL_TBLNNK,2020,188,2182,827,457,179
30717518,VL_TBLNNK,2021,161,1703,482,278,100
32403819,AkcijaMladih,2009,3,0,0,0,NA
32403819,AkcijaMladih,2011,24,1,1,0,1
32403819,AkcijaMladih,2012,29,0,0,0,NA
32403819,AkcijaMladih,2013,9,0,0,0,NA
32403819,AkcijaMladih,2016,7,4,2,0,NA
33442154,lehet_mas,2009,175,2,31,0,39
33442154,lehet_mas,2010,2927,38,387,0,66
33442154,lehet_mas,2011,2153,30,275,54,7
33442154,lehet_mas,2012,1294,30,190,74,2
33442154,lehet_mas,2013,1065,20,46,42,NA
33442154,lehet_mas,2014,2847,380,240,52,NA
33442154,lehet_mas,2015,2475,169,78,55,NA
33442154,lehet_mas,2016,2073,282,74,111,NA
33442154,lehet_mas,2017,1751,278,65,196,NA
33442154,lehet_mas,2018,1091,559,161,225,NA
33442154,lehet_mas,2019,367,163,60,55,NA
33442154,lehet_mas,2021,26,32,4,7,NA
34224009,LesCentristes_,2009,90,1,0,0,2
34224009,LesCentristes_,2010,505,7,54,1,7
34224009,LesCentristes_,2011,988,13,425,12,NA
34224009,LesCentristes_,2012,397,22,638,75,NA
34224009,LesCentristes_,2013,581,27,489,30,1
34224009,LesCentristes_,2014,294,61,345,10,1
34224009,LesCentristes_,2015,398,410,1139,42,298
34224009,LesCentristes_,2016,524,2101,3370,131,1091
34224009,LesCentristes_,2017,182,1633,1933,92,777
34224009,LesCentristes_,2018,236,1410,1750,38,1031
34224009,LesCentristes_,2019,280,5403,4511,209,1087
34224009,LesCentristes_,2020,269,2708,1887,114,956
34224009,LesCentristes_,2021,89,940,602,35,739
35022597,LePG,2009,230,6,0,0,29
35022597,LePG,2010,654,30,300,0,8
35022597,LePG,2011,1551,141,1987,99,73
35022597,LePG,2012,1789,355,4334,274,2
35022597,LePG,2013,7167,6081,60676,6931,765
35022597,LePG,2014,9743,16522,93422,8891,793
35022597,LePG,2015,6666,19368,63181,6801,723
35022597,LePG,2016,5832,46726,84564,5761,1249
35022597,LePG,2017,2160,36151,32716,2073,1872
35022597,LePG,2018,176,5151,4030,371,1251
35022597,LePG,2019,42,2085,1363,154,1021
35022597,LePG,2020,56,2869,1744,125,733
35022597,LePG,2021,39,1695,1045,41,90
36347825,PNmalta,2009,86,0,0,1,NA
36347825,PNmalta,2010,195,0,0,0,3
36347825,PNmalta,2011,134,2,32,0,NA
36347825,PNmalta,2012,1396,40,173,43,109
36347825,PNmalta,2013,660,110,370,28,469
36347825,PNmalta,2014,196,140,248,68,29
36347825,PNmalta,2015,127,231,571,50,260
36347825,PNmalta,2016,337,1016,1533,106,646
36347825,PNmalta,2017,615,4274,3017,98,527
36347825,PNmalta,2018,63,631,448,17,100
36347825,PNmalta,2019,78,1149,815,20,273
36347825,PNmalta,2020,6,120,59,2,127
36347825,PNmalta,2021,2,42,27,3,60
36392123,pcp_pt,2009,147,83,1,0,1
36392123,pcp_pt,2010,16,47,23,2,NA
36392123,pcp_pt,2019,370,10223,3516,760,1
36392123,pcp_pt,2020,3011,79128,23944,5422,62
36392123,pcp_pt,2021,1108,64747,18942,1860,46
36914138,neademokratia,2009,259,7,1,0,3
36914138,neademokratia,2010,12,1,2,0,NA
36914138,neademokratia,2011,428,143,545,428,2
36914138,neademokratia,2012,1852,1400,8202,3789,62
36914138,neademokratia,2013,131,266,422,678,12
36914138,neademokratia,2014,133,743,701,806,10
36914138,neademokratia,2015,929,8941,5668,2881,6
36914138,neademokratia,2016,644,27965,13058,2155,469
36914138,neademokratia,2017,426,47722,18802,2643,300
36914138,neademokratia,2018,442,94546,30307,5856,282
36914138,neademokratia,2019,242,77083,21338,5815,469
36914138,neademokratia,2020,67,27767,5922,3361,221
36914138,neademokratia,2021,59,23953,5769,3336,89
38227056,sotsdem,2009,74,0,0,0,2
38227056,sotsdem,2010,231,1,20,0,8
38227056,sotsdem,2011,186,1,11,1,14
38227056,sotsdem,2012,114,3,6,16,3
38227056,sotsdem,2013,83,7,1,11,3
38227056,sotsdem,2014,92,13,3,21,45
38227056,sotsdem,2015,270,269,61,25,73
38227056,sotsdem,2016,333,220,31,35,167
38227056,sotsdem,2017,328,103,14,13,NA
38227056,sotsdem,2018,478,232,68,15,NA
38227056,sotsdem,2019,300,117,40,7,1
38227056,sotsdem,2020,983,1899,155,47,160
38227056,sotsdem,2021,1338,3075,228,169,281
39250641,FDP_Liberalen,2009,14,0,0,0,NA
39250641,FDP_Liberalen,2010,122,3,32,0,NA
39250641,FDP_Liberalen,2011,460,10,171,60,5
39250641,FDP_Liberalen,2012,233,39,165,94,1
